Delta [slots]	Adversarial Stake [%/100]	Bound	Number of Blocks	Probability of Failure
0.01	0.050	LB	32    	9.972359037252996e-19
0.01	0.050	LB	33    	2.839768398524007e-19
0.01	0.050	LB	34    	8.086643652060627e-20
0.01	0.050	LB	35    	2.302787753888395e-20
0.01	0.050	LB	36    	6.557519559955563e-21
0.01	0.050	LB	37    	1.867347967550189e-21
0.01	0.050	LB	38    	5.31754028870725e-22
0.01	0.050	LB	39    	1.514244842627993e-22
0.01	0.050	LB	40    	4.312023435374034e-23
0.01	0.050	UB	1     	0.1478396173144348
0.01	0.050	UB	2     	0.02589661819238182
0.01	0.050	UB	3     	0.008359959822328181
0.01	0.050	UB	4     	0.002274701871988664
0.01	0.050	UB	5     	0.0005578482129172142
0.01	0.050	UB	6     	0.0001578566018862461
0.01	0.050	UB	7     	4.596992910970072e-05
0.01	0.050	UB	8     	1.277377172948725e-05
0.01	0.050	UB	9     	3.581477441627709e-06
0.01	0.050	UB	10    	1.023729268547761e-06
0.01	0.050	UB	11    	2.911428195939828e-07
0.01	0.050	UB	12    	8.251153101591294e-08
0.01	0.050	UB	13    	2.348127544140996e-08
0.01	0.050	UB	14    	6.690734752649494e-09
0.01	0.050	UB	15    	1.904467245766466e-09
0.01	0.050	UB	16    	5.422691661784545e-10
0.01	0.050	UB	17    	1.545027574546387e-10
0.01	0.050	UB	18    	4.401973925096569e-11
0.01	0.050	UB	19    	1.254122483412537e-11
0.01	0.050	UB	20    	3.573520321879187e-12
0.01	0.050	UB	21    	1.018318677042178e-12
0.01	0.050	UB	22    	2.901819377942761e-13
0.01	0.050	UB	23    	8.269282061517675e-14
0.01	0.050	UB	24    	2.35656101128279e-14
0.01	0.050	UB	25    	6.715743640012956e-15
0.01	0.050	UB	26    	1.913869217239307e-15
0.01	0.050	UB	27    	5.454242827954489e-16
0.01	0.050	UB	28    	1.554387869392262e-16
0.01	0.050	UB	29    	4.429815995103101e-17
0.01	0.050	UB	30    	1.262447264558514e-17
0.01	0.050	UB	31    	3.59784051620319e-18
0.01	0.050	UB	32    	1.025347904414677e-18
0.01	0.050	UB	33    	2.922140202428089e-19
0.01	0.050	UB	34    	8.327817834888781e-20
0.01	0.050	UB	35    	2.37334899941571e-20
0.01	0.050	UB	36    	6.763820522185254e-21
0.01	0.050	UB	37    	1.92762487885316e-21
0.01	0.050	UB	38    	5.493547092433235e-22
